City,Local Time,Temperature
Accra,Wed 4:24 am,81
Addis Ababa,Wed 7:24 am,57
Adelaide,Wed 1:54 pm,59
Algiers,Wed 5:24 am,76
Almaty,Wed 9:24 am,77
Amman,Wed 7:24 am,72
Amsterdam ,Wed 6:24 am,57
Anadyr,Wed 4:24 pm,62
Anchorage ,Tue 8:24 pm,69
Ankara,Wed 7:24 am,57
Antananarivo,Wed 7:24 am,55
Asuncion,Wed 1:24 am,64
Athens ,Wed 7:24 am,72
Atlanta ,Wed 12:24 am,64
Auckland,Wed 4:24 pm,61
Baghdad,Wed 7:24 am,84
Bangkok,Wed 11:24 am,91
Barcelona ,Wed 6:24 am,68
Beijing,Wed 12:24 pm,74
Belgrade ,Wed 6:24 am,61
Bengaluru,Wed 9:54 am,77
Berlin ,Wed 6:24 am,61
Bogota,Tue 11:24 pm,57
Boston ,Wed 12:24 am,62
Brasilia,Wed 1:24 am,64
Brisbane,Wed 2:24 pm,75
Brussels ,Wed 6:24 am,55
Bucharest ,Wed 7:24 am,63
Budapest ,Wed 6:24 am,61
Buenos Aires,Wed 1:24 am,59
Cairo ,Wed 7:24 am,77
Calgary ,Tue 10:24 pm,46
Canberra,Wed 2:24 pm,52
Cape Town,Wed 6:24 am,59
Caracas,Wed 12:24 am,79
Casablanca ,Wed 5:24 am,68
Chicago ,Tue 11:24 pm,62
Copenhagen ,Wed 6:24 am,61
Dallas ,Tue 11:24 pm,76
Dar es Salaam,Wed 7:24 am,73
Darwin,Wed 1:54 pm,84
Denver ,Tue 10:24 pm,69
Detroit ,Wed 12:24 am,60
Dhaka,Wed 10:24 am,91
Doha,Wed 7:24 am,97
Dubai,Wed 8:24 am,91
Dublin ,Wed 5:24 am,54
Edmonton ,Tue 10:24 pm,48
Frankfurt ,Wed 6:24 am,52
Guatemala City,Tue 10:24 pm,68
Halifax ,Wed 1:24 am,43
Hanoi,Wed 11:24 am,93
Harare,Wed 6:24 am,49
Havana ,Wed 12:24 am,79
Helsinki ,Wed 7:24 am,59
Hong Kong,Wed 12:24 pm,91
Honolulu,Tue 6:24 pm,77
Houston ,Tue 11:24 pm,78
Indianapolis ,Wed 12:24 am,68
Islamabad,Wed 9:24 am,82
Istanbul,Wed 7:24 am,70
Jakarta,Wed 11:24 am,87
Jerusalem ,Wed 7:24 am,62
Johannesburg,Wed 6:24 am,49
Karachi,Wed 9:24 am,90
Kathmandu,Wed 10:09 am,81
Kingston,Tue 11:24 pm,84
Kinshasa,Wed 5:24 am,73
Kiritimati,Wed 6:24 pm,84
Kolkata,Wed 9:54 am,93
Kuala Lumpur,Wed 12:24 pm,90
Kuwait City,Wed 7:24 am,85
Kyiv ,Wed 7:24 am,54
La Paz,Wed 12:24 am,33
Lagos,Wed 5:24 am,82
Lahore,Wed 9:24 am,84
Las Vegas ,Tue 9:24 pm,96
Lima,Tue 11:24 pm,70
Lisbon ,Wed 5:24 am,61
London ,Wed 5:24 am,54
Los Angeles ,Tue 9:24 pm,63
Madrid ,Wed 6:24 am,61
Managua,Tue 10:24 pm,84
Manila,Wed 12:24 pm,86
Melbourne,Wed 2:24 pm,59
Mexico City,Tue 10:24 pm,68
Miami ,Wed 12:24 am,77
Minneapolis ,Tue 11:24 pm,74
Minsk,Wed 7:24 am,48
Montevideo,Wed 1:24 am,50
Montréal ,Wed 12:24 am,63
Moscow,Wed 7:24 am,53
Mumbai,Wed 9:54 am,82
Nassau ,Wed 12:24 am,81
New Delhi,Wed 9:54 am,89
New Orleans ,Tue 11:24 pm,77
New York ,Wed 12:24 am,69
Oslo ,Wed 6:24 am,55
Ottawa ,Wed 12:24 am,59
Paris ,Wed 6:24 am,54
Perth,Wed 12:24 pm,64
Philadelphia ,Wed 12:24 am,65
Phoenix,Tue 9:24 pm,96
Prague ,Wed 6:24 am,57
Reykjavik,Wed 4:24 am,50
Rio de Janeiro,Wed 1:24 am,68
Riyadh,Wed 7:24 am,91
Rome ,Wed 6:24 am,72
Salt Lake City ,Tue 10:24 pm,73
San Francisco ,Tue 9:24 pm,56
San Juan,Wed 12:24 am,80
San Salvador,Tue 10:24 pm,79
Santiago,Wed 12:24 am,48
Santo Domingo,Wed 12:24 am,82
Seattle ,Tue 9:24 pm,79
Seoul,Wed 1:24 pm,88
Shanghai,Wed 12:24 pm,91
Singapore,Wed 12:24 pm,90
Sofia ,Wed 7:24 am,56
St. John's ,Wed 1:54 am,36
Stockholm ,Wed 6:24 am,59
Suva,Wed 4:24 pm,83
Sydney,Wed 2:24 pm,70
São Paulo,Wed 1:24 am,59
Taipei,Wed 12:24 pm,99
Tallinn ,Wed 7:24 am,59
Tashkent,Wed 9:24 am,68
Tegucigalpa,Tue 10:24 pm,75
Tehran,Wed 7:54 am,73
Tokyo,Wed 1:24 pm,70
Toronto ,Wed 12:24 am,64
Vancouver ,Tue 9:24 pm,66
Vienna ,Wed 6:24 am,64
Warsaw ,Wed 6:24 am,57
Washington DC ,Wed 12:24 am,64
Winnipeg ,Tue 11:24 pm,67
Yangon,Wed 10:54 am,88
Zagreb ,Wed 6:24 am,61
Zürich ,Wed 6:24 am,54
